date,open,high,low,close,volume,amount,oi
2010-01-04,8234,8452,8202,8344,721522,167786,0
2010-01-05,8396,8464,8352,8372,638568,164064,0
2010-01-06,8346,8446,8346,8352,526364,168978,0
2010-01-07,8400,8486,8064,8190,632922,135874,0
2010-01-08,8200,8220,8066,8146,533380,129848,0
2010-01-11,8250,8312,8210,8262,449352,127286,0
2010-01-12,8200,8340,8184,8320,725894,157886,0
2010-01-13,8110,8216,8050,8176,504518,129104,0
2010-01-14,8250,8354,8226,8334,628582,141304,0
2010-01-15,8332,8348,8216,8232,537972,122620,0
2010-01-18,8194,8356,8152,8348,462216,140168,0
2010-01-19,8354,8400,8312,8384,439870,121372,0
2010-01-20,8640,8668,8456,8464,445500,106564,0
2010-01-21,8422,8542,8422,8526,439088,115724,0
2010-01-22,8400,8468,8260,8324,577192,92370,0
2010-01-25,8300,8358,8242,8324,417478,100284,0
2010-01-26,8358,8382,8206,8224,443368,101506,0
2010-01-27,8250,8250,8092,8126,630728,123170,0
2010-01-28,8026,8070,7888,8008,720894,134242,0
2010-01-29,7982,8058,7950,8046,565250,127582,0
2010-02-01,8020,8056,7842,7946,567978,129674,0
2010-02-02,8048,8076,7932,7966,588778,129306,0
2010-02-03,8070,8172,8042,8172,512120,133920,0
2010-02-04,8130,8194,8088,8132,480678,139416,0
2010-02-05,7934,8058,7928,8050,408058,139676,0
2010-02-08,8050,8074,8004,8026,352086,137764,0
2010-02-09,8024,8158,7974,8142,499190,136706,0
2010-02-10,8164,8224,8132,8194,319890,105930,0
2010-02-11,8248,8282,8202,8268,160260,93814,0
2010-02-12,8278,8464,8270,8432,254126,95036,0
2010-02-22,8636,8648,8420,8466,175382,106770,0
2010-02-23,8424,8516,8410,8474,292524,141880,0
2010-02-24,8432,8514,8430,8482,258554,161904,0
2010-02-25,8518,8564,8374,8374,352270,156594,0
2010-02-26,8402,8440,8360,8408,258660,162438,0
2010-03-01,8494,8500,8342,8358,289348,167052,0
2010-03-02,8336,8336,8240,8266,344546,165370,0
2010-03-03,8294,8334,8244,8258,388762,179616,0
2010-03-04,8258,8296,8162,8182,361524,176248,0
2010-03-05,8194,8240,8168,8236,273594,179988,0
2010-03-08,8290,8386,8264,8364,331914,181500,0
2010-03-09,8354,8412,8338,8382,248180,180920,0
2010-03-10,8364,8424,8330,8346,247582,176356,0
2010-03-11,8360,8388,8230,8262,266768,166278,0
2010-03-12,8288,8318,8248,8292,231524,159822,0
2010-03-15,8288,8292,8068,8086,343968,172656,0
2010-03-16,8020,8100,7956,8084,379676,161988,0
2010-03-17,8130,8220,8124,8218,273416,154652,0
2010-03-18,8258,8286,8156,8178,308696,154530,0
2010-03-19,8180,8210,8132,8182,300838,146854,0
2010-03-22,8110,8228,8100,8170,358186,148900,0
2010-03-23,8188,8216,8126,8148,236674,136898,0
2010-03-24,8150,8192,8102,8188,200828,129102,0
2010-03-25,8450,8488,8426,8456,200428,109274,0
2010-03-26,8450,8582,8448,8564,338956,141346,0
2010-03-29,8610,8664,8592,8628,272692,142018,0
2010-03-30,8670,8676,8568,8598,266782,139662,0
2010-03-31,8628,8636,8556,8556,294212,152854,0
2010-04-01,8580,8650,8570,8622,248018,173894,0
2010-04-02,8672,8696,8632,8662,235924,186538,0
2010-04-06,8710,8766,8704,8736,269052,215094,0
2010-04-07,8748,8748,8686,8706,182050,212262,0
2010-04-08,8664,8710,8628,8630,206056,208492,0
2010-04-09,8660,8676,8622,8676,247024,210508,0
2010-04-12,8692,8714,8636,8672,228736,212008,0
2010-04-13,8650,8658,8590,8632,261494,206466,0
2010-04-14,8656,8666,8616,8640,211030,202704,0
2010-04-15,8670,8712,8646,8650,390716,216814,0
2010-04-16,8658,8666,8600,8622,246024,216032,0
2010-04-19,8540,8556,8460,8466,315996,209022,0
2010-04-20,8516,8552,8482,8544,282056,199146,0
2010-04-21,8552,8570,8530,8552,211842,195582,0
2010-04-22,8526,8560,8504,8518,213202,200620,0
2010-04-23,8530,8576,8512,8542,192722,206232,0
2010-04-26,8592,8606,8544,8554,169568,197254,0
2010-04-27,8532,8540,8474,8478,210812,200490,0
2010-04-28,8354,8438,8330,8430,233070,197676,0
2010-04-29,8440,8450,8374,8386,183224,196244,0
2010-04-30,8426,8436,8354,8400,202670,189754,0
2010-05-04,8372,8404,8318,8350,169240,201536,0
2010-05-05,8200,8284,8200,8284,170914,195014,0
2010-05-06,8252,8278,8190,8206,182640,198648,0
2010-05-07,8126,8150,8030,8036,278640,203750,0
2010-05-10,8080,8102,7990,8096,298066,215872,0
2010-05-11,8080,8134,8040,8042,329960,221600,0
2010-05-12,8030,8144,8012,8092,346182,212910,0
2010-05-13,8098,8118,8020,8058,353628,221752,0
2010-05-14,8002,8010,7816,7820,651774,250336,0
2010-05-17,7710,7746,7570,7570,373370,210882,0
2010-05-18,7362,7638,7362,7632,419872,180452,0
2010-05-19,7520,7636,7462,7570,448314,181456,0
2010-05-20,7610,7648,7564,7592,353282,188020,0
2010-05-21,7502,7526,7388,7472,543786,199612,0
2010-05-24,7498,7584,7456,7552,476700,214588,0
2010-05-25,7486,7506,7308,7322,870386,285552,0
2010-05-26,7398,7426,7366,7394,648680,268350,0
2010-05-27,7406,7532,7394,7526,648620,269616,0
2010-05-28,7600,7646,7562,7586,551726,238088,0
2010-05-31,7552,7688,7542,7584,444132,231780,0
2010-06-01,7588,7610,7470,7472,426972,233282,0
2010-06-02,7454,7484,7320,7440,541422,227540,0
2010-06-03,7496,7500,7414,7458,412012,220094,0
2010-06-04,7448,7448,7350,7386,518508,226632,0
2010-06-07,7100,7150,7090,7090,245578,221864,0
2010-06-08,7090,7130,7062,7116,355124,204682,7098
2010-06-09,7114,7216,7098,7214,329692,200348,7154
2010-06-10,7218,7288,7202,7220,354150,192668,7240
2010-06-11,7288,7298,7232,7256,246302,182798,7264
2010-06-14,7288,7298,7232,7256,246302,182798,7264
2010-06-17,7350,7396,7288,7300,232636,191704,7344
2010-06-18,7300,7348,7278,7292,289896,186708,7312
2010-06-21,7360,7546,7360,7484,391928,198708,7446
2010-06-22,7440,7474,7432,7452,219384,185632,7452
2010-06-23,7410,7440,7356,7384,332492,178108,7398
2010-06-24,7366,7448,7352,7414,428098,191374,7410
2010-06-25,7422,7430,7368,7388,286172,178600,7396
2010-06-28,7468,7478,7412,7426,200458,181160,7448
2010-06-29,7402,7420,7296,7304,272080,176050,7350
2010-06-30,7244,7286,7232,7272,183740,164054,7256
2010-07-01,7234,7252,7136,7144,311042,172544,7200
2010-07-02,7120,7206,7088,7202,360500,163812,7150
2010-07-05,7198,7240,7158,7216,227656,166924,7198
2010-07-06,7152,7186,7094,7180,376032,172796,7134
2010-07-07,7180,7212,7158,7188,260222,175608,7186
2010-07-08,7290,7294,7224,7242,208002,172370,7252
2010-07-09,7260,7298,7230,7294,222604,173490,7268
2010-07-12,7294,7312,7176,7192,243480,177564,7270
2010-07-13,7190,7192,7096,7098,317132,190486,7138
2010-07-14,7134,7194,7126,7140,265836,174610,7156
2010-07-15,7120,7122,6956,6964,775140,253708,7014
2010-07-16,6976,7010,6938,6986,655654,227918,6982
2010-07-19,6920,7066,6920,7036,497672,197192,7018
2010-07-20,7040,7108,7034,7106,255276,182234,7080
2010-07-21,7118,7126,7050,7072,398714,181656,7078
2010-07-22,7052,7142,7046,7130,386014,164308,7112
2010-07-23,7182,7228,7162,7200,323626,153126,7190
2010-07-26,7194,7280,7194,7260,221384,143290,7244
2010-07-27,7576,7582,7488,7490,196064,123424,0
2010-07-28,7462,7592,7462,7574,279678,133068,0
2010-07-29,7560,7618,7514,7578,428436,141414,0
2010-07-30,7590,7648,7546,7634,519670,169210,0
2010-08-02,7666,7764,7650,7736,420936,203234,0
2010-08-03,7786,7810,7696,7710,416838,203708,0
2010-08-04,7730,7798,7702,7754,582498,205382,0
2010-08-05,7774,7776,7612,7628,617002,205636,0
2010-08-06,7630,7658,7580,7652,485686,201876,0
2010-08-09,7652,7750,7626,7746,549978,231288,0
2010-08-10,7724,7776,7670,7678,567592,225272,0
2010-08-11,7660,7750,7650,7668,557828,227086,0
2010-08-12,7618,7642,7560,7604,498758,221518,0
2010-08-13,7650,7722,7600,7722,419652,236418,0
2010-08-16,7700,7934,7646,7918,1367300,355130,0
2010-08-17,7906,7940,7848,7890,999116,352164,0
2010-08-18,7914,7994,7854,7880,1242600,338278,0
2010-08-19,7906,7980,7868,7972,1228300,378966,0
2010-08-20,7950,7958,7804,7828,1112200,296860,0
2010-08-23,7848,7848,7732,7740,792658,294138,0
2010-08-24,7716,7742,7650,7668,705346,276990,0
2010-08-25,7660,7760,7638,7752,855384,302790,0
2010-08-26,7782,7842,7768,7820,743536,301430,0
2010-08-27,7820,7836,7770,7820,576090,286626,0
2010-08-30,7896,7928,7822,7842,547844,286934,0
2010-08-31,7798,7800,7678,7686,469036,270522,0
2010-09-01,7680,7794,7680,7744,718818,256798,0
2010-09-02,7816,7878,7782,7872,654356,273614,0
2010-09-03,7900,7906,7824,7846,553294,263318,0
2010-09-06,7850,7974,7848,7946,543732,543732,0
2010-09-07,7934,7976,7874,7926,545906,295764,0
2010-09-08,7952,7998,7918,7962,840680,315784,0
2010-09-09,8000,8036,7700,7844,866622,263146,0
2010-09-10,7864,7900,7830,7856,509116,251656,0
2010-09-13,7908,7958,7858,7922,483576,258542,0
2010-09-14,7930,7956,7866,7896,451148,247740,0
2010-09-15,7902,7994,7884,7926,982654,982654,0
2010-09-16,7938,7956,7846,7864,583318,259606,0
2010-09-17,7868,7920,7860,7892,438552,247020,0
2010-09-20,7904,8056,7902,8022,659820,659820,0
2010-09-21,8030,8036,7924,7964,366468,227518,0
2010-09-27,8126,8284,8082,8260,698918,283866,0
