日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2018-03-26,440.0,447.1,426.3,429.9,40656,311400,0.0
2018-03-27,429.9,431.7,412.6,424.0,40602,3936,426.4
2018-03-28,429.0,429.2,406.5,410.4,67198,6074,414.1
2018-03-29,410.5,412.0,401.6,409.7,66668,7732,406.8
2018-03-30,407.4,421.7,405.0,420.3,58562,7058,412.0
2018-04-02,420.5,421.3,413.9,416.6,24644,6536,417.0
2018-04-03,414.3,414.3,400.5,402.5,52826,8546,405.5
2018-04-04,403.8,406.9,399.0,401.5,44234,9164,402.3
2018-04-09,398.2,403.5,397.7,402.3,15470,9504,400.5
2018-04-10,404.2,415.1,403.8,413.5,61690,8992,410.1
2018-04-11,415.0,421.8,414.1,417.8,66434,12462,418.2
2018-04-12,421.0,429.9,416.9,428.7,110076,14474,424.4
2018-04-13,425.3,428.7,423.3,427.0,63092,13480,426.1
2018-04-16,427.7,431.0,423.5,424.4,65284,13494,427.9
2018-04-17,426.0,427.4,421.5,427.4,55000,13002,425.1
2018-04-18,422.8,431.4,420.6,429.7,80338,14628,425.4
2018-04-19,435.0,444.0,432.5,440.6,84716,15928,437.8
2018-04-20,441.0,443.0,435.0,437.0,68430,15616,440.0
2018-04-23,435.0,441.0,432.0,440.0,70338,15986,436.0
2018-04-24,434.2,449.2,432.2,447.3,91590,18324,440.9
2018-04-25,447.0,448.9,436.6,438.0,98992,16184,443.2
2018-04-26,437.1,444.9,434.4,441.4,109256,16286,439.4
2018-04-27,444.0,445.5,440.4,444.2,80582,16256,442.5
2018-05-02,439.7,444.4,436.0,443.5,33454,17254,441.2
2018-05-03,441.6,448.0,439.1,447.0,111198,21392,442.6
2018-05-04,443.8,448.8,442.8,446.9,100694,20456,445.5
2018-05-07,448.3,461.5,448.3,458.3,135002,22786,454.7
2018-05-08,460.6,462.4,456.9,459.1,110926,23344,459.5
2018-05-09,466.0,466.5,464.0,465.2,244268,25760,455.8
2018-05-10,466.3,477.9,466.0,476.4,165456,30620,470.6
2018-05-11,474.2,474.3,467.0,471.2,165686,28136,470.4
2018-05-14,471.7,472.6,462.7,465.6,168258,24488,468.6
2018-05-15,467.5,474.6,467.5,472.8,150048,27872,471.0
2018-05-16,478.0,478.0,470.5,473.1,193836,25888,474.1
2018-05-17,472.0,485.3,470.5,481.9,220206,31014,476.8
2018-05-18,485.0,488.6,481.9,486.5,179326,29920,484.8
2018-05-21,484.8,486.0,477.0,482.4,175668,26892,482.4
2018-05-22,480.0,486.5,478.3,485.1,133016,29060,482.8
2018-05-23,486.0,493.8,482.6,484.6,218094,30956,488.1
2018-05-24,484.5,487.4,478.1,485.0,217168,30414,483.0
2018-05-25,481.1,483.8,476.6,477.4,180374,30964,480.6
2018-05-28,467.4,470.5,456.6,462.8,245594,30338,464.3
2018-05-29,462.5,466.0,459.2,463.8,145200,30166,462.7
2018-05-30,467.0,468.3,458.5,463.9,224162,30760,463.4
2018-05-31,466.0,476.8,465.3,472.5,234544,33824,471.9
2018-06-01,470.5,483.9,469.9,474.7,275006,33986,476.1
2018-06-04,472.9,473.1,467.6,470.9,202210,31182,470.6
2018-06-05,468.7,471.4,461.6,466.2,212376,30258,466.1
2018-06-06,461.7,466.7,455.8,465.0,238464,33080,460.7
2018-06-07,461.0,466.0,458.0,465.8,251680,33264,461.8
2018-06-08,467.7,474.2,466.6,468.3,228524,34290,470.5
2018-06-11,469.0,476.3,466.8,467.5,192790,32846,470.2
2018-06-12,466.4,473.0,463.9,472.1,235584,33878,469.1
2018-06-13,469.2,471.7,463.0,464.5,217898,32200,467.8
2018-06-14,466.3,472.0,464.4,468.1,222996,31010,468.6
2018-06-15,470.7,472.2,465.5,467.2,182254,28670,468.2
2018-06-19,463.1,465.5,458.0,460.3,75788,31970,460.7
2018-06-20,461.1,465.7,458.8,464.2,223134,32990,462.2
2018-06-21,465.0,468.7,458.8,459.8,312444,34196,463.5
2018-06-22,458.0,461.8,453.7,459.0,271166,35592,457.4
2018-06-25,464.4,472.0,464.3,466.5,254096,34400,467.0
2018-06-26,468.4,471.9,465.3,471.5,184420,35956,468.0
2018-06-27,472.2,486.1,469.6,485.0,295640,39126,476.9
2018-06-28,487.0,495.0,486.3,491.0,260304,36606,491.9
2018-06-29,490.4,498.0,490.4,494.8,252972,36364,494.6
2018-07-02,498.0,510.0,497.6,501.6,283214,36276,502.6
2018-07-03,502.4,505.2,496.8,503.5,255268,36494,501.9
2018-07-04,504.1,504.5,491.3,496.7,319660,33908,497.7
2018-07-05,496.0,501.8,494.4,497.6,212576,34278,497.2
2018-07-06,498.8,502.0,492.8,495.7,330606,34222,497.7
2018-07-09,491.0,498.6,487.0,497.7,218764,39620,493.5
2018-07-10,497.6,505.0,496.3,504.9,240444,44140,500.0
2018-07-11,506.7,511.5,502.6,507.9,291768,44978,507.5
2018-07-12,503.2,508.6,490.0,492.6,346284,36094,500.4
2018-07-13,492.5,495.8,487.6,491.1,264248,35316,491.3
2018-07-16,494.0,499.5,491.8,491.9,225268,32572,495.6
2018-07-17,486.2,488.7,478.5,479.2,293302,34326,484.3
2018-07-18,483.0,485.3,478.6,481.5,218500,33670,481.2
2018-07-19,482.6,489.1,479.0,486.1,263424,31842,484.1
2018-07-20,483.5,494.5,483.3,493.4,318348,32128,490.4
2018-07-23,493.6,494.7,489.1,490.4,211466,30746,491.7
2018-07-24,495.5,499.7,493.1,494.7,229940,30092,496.2
2018-07-25,495.0,504.3,492.9,503.1,234826,31258,498.3
2018-07-26,501.7,504.6,497.3,503.8,266060,28914,501.3
2018-07-27,501.3,508.7,501.3,506.9,193380,29372,505.2
2018-07-30,508.3,509.9,503.7,509.9,187630,30306,507.3
2018-07-31,514.1,515.5,512.6,513.2,151032,30572,514.0
2018-08-01,512.8,514.1,501.3,503.3,238068,24470,507.0
2018-08-02,497.6,504.3,497.4,503.7,235238,25200,501.0
2018-08-03,501.0,515.3,501.0,513.5,232308,24054,507.7
2018-08-06,512.7,519.6,506.0,518.6,244680,22746,511.7
2018-08-07,520.9,537.2,520.5,537.2,216280,21482,530.8
2018-08-08,545.6,550.0,510.2,523.2,367998,13342,530.6
2018-08-09,515.1,523.0,508.4,513.2,70478,25114,514.3
2018-08-10,515.3,517.6,503.9,506.3,75992,26624,511.5
2018-08-13,509.8,515.5,507.6,509.3,82664,26436,512.1
2018-08-14,510.2,519.2,505.0,516.0,170050,29554,512.5
2018-08-15,520.0,521.8,508.2,510.1,218180,31904,515.4
2018-08-16,508.8,512.3,494.0,497.9,326410,30634,501.6
2018-08-17,500.0,501.8,495.0,496.7,249986,33838,498.2
2018-08-20,501.5,503.5,480.0,491.4,327468,32764,493.1
2018-08-21,491.2,501.9,488.5,496.4,335614,35774,497.0
2018-08-22,500.0,507.6,496.8,504.6,304726,36000,500.5
2018-08-23,509.1,513.7,504.9,508.0,314562,34954,508.7
2018-08-24,508.0,514.6,504.2,511.8,287220,31622,509.3
2018-08-27,512.2,514.3,507.7,510.8,259682,31684,511.4
2018-08-28,512.5,516.2,509.6,512.0,258382,31138,513.1
2018-08-29,513.5,514.1,508.2,508.5,250278,30538,511.3
2018-08-30,513.0,523.6,510.7,522.8,318074,32796,515.7
2018-08-31,523.5,525.2,519.1,524.0,224134,33620,522.8
2018-09-03,522.9,524.4,518.0,521.2,242128,32370,521.5
2018-09-04,522.0,527.0,520.3,523.9,233514,31700,523.4
2018-09-05,530.3,532.5,520.4,521.3,348304,33730,525.7
2018-09-06,520.5,524.3,518.7,520.0,280408,35128,520.9
2018-09-07,521.8,522.6,512.0,516.8,331998,33830,517.2
2018-09-10,516.7,525.3,510.9,524.5,304954,35010,516.3
2018-09-11,523.2,525.0,518.3,524.3,292542,34716,522.2
2018-09-12,522.8,540.2,522.2,535.9,353554,37912,531.0
2018-09-13,537.1,540.5,530.3,533.3,332700,38618,535.7
2018-09-14,531.5,533.4,523.6,525.8,293498,37968,528.7
2018-09-17,525.3,530.5,521.2,527.8,335812,40108,525.7
2018-09-18,529.5,530.6,522.4,523.3,272110,43488,526.2
2018-09-19,530.0,532.9,525.9,528.7,307304,42154,528.9
2018-09-20,527.4,537.6,525.7,535.9,340108,48718,531.3
2018-09-21,533.0,534.8,529.2,532.1,267538,43742,531.8
2018-09-25,542.7,552.3,541.6,549.1,114378,46736,548.9
2018-09-26,550.8,555.5,550.6,554.2,272886,49386,553.2
2018-09-27,551.0,560.0,550.1,557.7,302500,46866,553.9
2018-09-28,556.8,564.6,551.3,563.6,246962,44052,556.0
2018-10-08,572.6,573.5,565.6,572.5,91178,43144,569.8
