date,RB_open,RB_high,RB_low,RB_close,RB_volume,RB_amount,RB_oi,RB_ret,RB_vol20,IRON_open,IRON_high,IRON_low,IRON_close,IRON_volume,IRON_amount,IRON_oi,IRON_ret,IRON_vol20
2013-11-15,3624,3636,3590,3591,1936398,1601800,3614,-0.008043310593733874,0.011249366292872019,939.0,942.0,930.0,931.0,76014,102752,935.0,-0.006424004961355099,0.008976036335528641
2013-11-18,3596,3608,3583,3592,1339696,1572632,3595,0.0002784351960073267,0.011249227544727632,931.0,935.0,925.0,932.0,52704,99378,930.0,0.0010735374085241852,0.008899661785715595
2013-11-19,3585,3625,3585,3624,1689192,1538100,3604,0.00886923774077979,0.011365200170193757,931.0,943.0,930.0,942.0,60164,106904,936.0,0.01067245989077198,0.007988454567119347
2013-11-21,3644,3646,3607,3612,1674888,1624172,3623,-0.0033167526259939265,0.011306245754796138,942.0,943.0,932.0,932.0,41322,105090,935.0,-0.010672459890771872,0.008061008431328502
2013-11-22,3616,3635,3610,3614,1222570,1571758,3621,0.0005535566152978599,0.011214656426308226,934.0,935.0,929.0,931.0,52592,106092,932.0,-0.00107353740852408,0.00740824946830374
2013-11-25,3624,3642,3614,3636,1475900,1571400,3628,0.006068984145195714,0.010965012437397012,933.0,936.0,928.0,933.0,38196,104188,932.0,0.0021459235702766762,0.007109643887078955
2013-11-26,3640,3677,3636,3660,2424668,1609300,3657,0.0065789710980425605,0.010993578497842434,934.0,943.0,934.0,941.0,72650,108162,939.0,0.00853793873803587,0.007248478849107615
2013-11-27,3658,3664,3645,3650,1382060,1632286,3654,-0.0027359798188747488,0.011054361263043058,940.0,942.0,933.0,936.0,30614,106536,936.0,-0.005327663107787538,0.007354012417450217
2013-11-28,3648,3682,3646,3670,1725370,1544494,3667,0.005464494472078745,0.0058697988307384414,933.0,940.0,933.0,939.0,27220,105728,937.0,0.0032000027306708497,0.0073531113467712374
2013-11-29,3674,3680,3662,3670,935964,1523400,3670,0.0,0.005833339335311109,939.0,945.0,939.0,939.0,33364,106418,941.0,0.0,0.007322917620810434
2013-12-02,3671,3698,3670,3695,1520018,1543200,3686,0.006788892333686128,0.005633786244956418,940.0,941.0,934.0,936.0,41520,108744,936.0,-0.0032000027306709027,0.005540436002885175
2013-12-03,3690,3709,3687,3709,1341546,1557200,3697,0.0037817441072885536,0.005680321493103904,938.0,941.0,936.0,939.0,35426,105336,938.0,0.0032000027306708497,0.0052174589786535
2013-12-04,3710,3727,3708,3713,1475374,1591700,3718,0.0010778766874893514,0.005648108794454235,942.0,955.0,941.0,952.0,94420,114382,949.0,0.0137495555831024,0.0060404159521719614
2013-12-05,3716,3718,3692,3693,1243242,1591600,3704,-0.00540103932451687,0.0055163576042278045,953.0,956.0,944.0,945.0,52990,114538,948.0,-0.007380107297622534,0.006262567679910943
2013-12-06,3692,3704,3683,3702,1151966,1592986,3690,0.002434078280879697,0.005076540565686725,944.0,945.0,938.0,941.0,40044,108430,940.0,-0.004241787908363141,0.006329561074736174
2013-12-09,3703,3726,3703,3722,1356200,1663600,3717,0.005387944068753165,0.005041496203734021,941.0,946.0,940.0,945.0,19390,112378,943.0,0.004241787908363124,0.006230221599655783
2013-12-10,3726,3737,3708,3716,1122538,1661100,3719,-0.0016133372684669675,0.005063142123696013,946.0,947.0,942.0,942.0,16900,109726,943.0,-0.003179652917379684,0.006238511353272342
2013-12-11,3718,3738,3691,3735,1933408,1672700,3716,0.0050999976331886285,0.005159693501884357,942.0,942.0,934.0,937.0,38984,108132,936.0,-0.005321992337940869,0.006343758573088243
2013-12-12,3741,3745,3725,3729,1238166,1724520,3734,-0.0016077173880968524,0.004918164931222751,936.0,938.0,930.0,930.0,35494,108944,934.0,-0.00749869609112062,0.0065423908664607525
2013-12-13,3728,3729,3661,3676,2446196,1528546,3689,-0.014314896703243082,0.005722596156230392,927.0,927.0,905.0,914.0,91394,116740,912.0,-0.01735401469315162,0.007442502521502631
2013-12-16,3680,3694,3668,3671,1300370,1482104,3679,-0.001361099978743344,0.00536499962521139,913.0,923.0,912.0,918.0,39670,121312,918.0,0.0043668191663403895,0.0074382486995334274
2013-12-17,3675,3689,3662,3663,1377856,1527492,3676,-0.002181620718019914,0.005412854508112671,918.0,920.0,908.0,910.0,24582,124712,916.0,-0.008752791109594744,0.007636603998100535
2013-12-18,3663,3663,3644,3656,1292080,1450908,3653,-0.001912830204773741,0.005114313646609002,908.0,913.0,902.0,906.0,71224,128188,907.0,-0.0044052934679163795,0.007130944088581456
2013-12-19,3661,3672,3642,3652,1024508,1461744,3657,-0.0010946908591815245,0.005052175280000349,909.0,913.0,907.0,908.0,30298,128266,909.0,0.0022050725583139755,0.00687866596415982
2013-12-20,3651,3665,3626,3627,1285518,1402016,3650,-0.0068691024319567666,0.005317613202846563,909.0,913.0,901.0,905.0,34754,127190,908.0,-0.0033094349013671424,0.006892870731563987
2013-12-23,3616,3624,3603,3612,1107832,1408800,3615,-0.004144224746026365,0.005211611358519025,904.0,905.0,885.0,893.0,128512,135724,892.0,-0.013348362823427086,0.00732840649885718
2013-12-24,3609,3632,3608,3628,984078,1425800,3623,0.0044198966981512855,0.005081683601405408,892.0,907.0,892.0,900.0,95624,121156,901.0,0.007808182447811709,0.007273789612147054
2013-12-25,3632,3640,3592,3603,1342694,1464490,3611,-0.0069147004869339855,0.0052637362982247545,903.0,904.0,898.0,903.0,48792,114208,901.0,0.0033277900926747457,0.007336840273964816
2013-12-26,3601,3610,3583,3604,1270188,1456700,3598,0.0002775079801353821,0.005070970203239367,903.0,904.0,885.0,896.0,84590,124116,891.0,-0.007782140442054963,0.007354298692329909
2013-12-27,3603,3621,3596,3612,1316292,1458702,3609,0.002217295808647531,0.005115890703332835,898.0,910.0,896.0,907.0,87282,107922,903.0,0.012202037140206226,0.008033714584992822
2013-12-30,3612,3628,3567,3573,1487000,1535700,3602,-0.01085605651346623,0.005258395085862405,908.0,920.0,908.0,911.0,85206,104050,913.0,0.004400447144821671,0.008139764215767058
2013-12-31,3574,3592,3562,3570,1260888,1419640,3575,-0.0008399832497249873,0.005105117069987976,908.0,914.0,899.0,911.0,72580,98646,909.0,0.0,0.00807675096605249
2014-01-02,3562,3592,3562,3590,1019050,1346124,3582,0.005586606708639776,0.005338223495820104,912.0,912.0,899.0,907.0,56510,107880,906.0,-0.0044004471448217085,0.0072487458046966114
2014-01-03,3587,3588,3528,3540,1260658,1355794,3550,-0.014025475354504434,0.005965716454435242,904.0,905.0,887.0,902.0,132754,122358,897.0,-0.005527930052512942,0.0071936785807635425
