date,shanghai_gold
2016-12-19,262.76
2016-12-20,262.06
2016-12-21,260.97
2016-12-22,260.0
2016-12-23,260.07
2016-12-26,261.4
2016-12-27,261.67
2016-12-28,261.91
2016-12-29,262.99
2016-12-30,263.9
2017-01-03,263.65
2017-01-04,264.87
2017-01-05,264.73
2017-01-06,265.29
2017-01-09,265.89
2017-01-10,268.11
2017-01-11,269.09
2017-01-12,269.33
2017-01-13,268.79
2017-01-16,270.5
2017-01-17,272.18
2017-01-18,271.03
2017-01-19,268.03
2017-01-20,269.05
2017-01-23,270.28
2017-01-24,269.85
2017-01-25,268.07
2017-01-26,266.25
2017-02-03,269.3
2017-02-06,271.79
2017-02-07,274.16
2017-02-08,274.35
2017-02-09,276.31
2017-02-10,272.83
2017-02-13,274.64
2017-02-14,274.06
2017-02-15,273.4
2017-02-16,274.93
2017-02-17,275.75
2017-02-20,275.5
2017-02-21,275.55
2017-02-22,275.6
2017-02-23,276.2
2017-02-24,279.63
2017-02-27,280.6
2017-02-28,281.83
2017-03-01,278.0
2017-03-02,278.35
2017-03-03,276.23
2017-03-06,276.54
2017-03-07,275.37
2017-03-08,273.79
2017-03-09,272.22
2017-03-10,270.41
2017-03-13,272.9
2017-03-14,271.3
2017-03-15,271.51
2017-03-16,275.89
2017-03-17,275.62
2017-03-20,277.07
2017-03-21,275.75
2017-03-22,278.2
2017-03-23,278.21
2017-03-24,277.88
2017-03-27,280.53
2017-03-28,280.23
2017-03-29,279.74
2017-03-30,279.6
2017-03-31,277.81
2017-04-05,280.63
2017-04-06,280.21
2017-04-07,282.93
2017-04-10,281.39
2017-04-11,281.84
2017-04-12,284.41
2017-04-13,286.69
2017-04-14,286.6
2017-04-17,286.9
2017-04-18,286.13
2017-04-19,285.75
2017-04-20,285.49
2017-04-21,285.36
2017-04-24,283.57
2017-04-25,283.3
2017-04-26,282.05
2017-04-27,282.59
2017-04-28,283.45
2017-05-02,280.94
2017-05-03,280.37
2017-05-04,276.19
2017-05-05,275.87
2017-05-08,275.5
2017-05-09,275.2
2017-05-10,273.89
2017-05-11,274.26
2017-05-12,275.51
2017-05-15,276.29
2017-05-16,276.7
2017-05-17,277.61
2017-05-18,279.82
2017-05-19,279.26
2017-05-22,280.0
2017-05-23,281.4
2017-05-24,278.5
2017-05-25,279.75
2017-05-26,280.35
2017-05-31,279.0
